Product Title,Product Price,Product Rating,Product Reviews,Seller Name,Seller Rating,Seller Followers,Seller Products
WOMAN NEW FOIL KURTI PACK OF 1,₹272,3.9,18 Reviews,CHAHAT FAB,"3.620,210 Ratings",883Followers,32Products
Stylish Women's Crepe Wine Color Ethnic Motif Printed Straight Kurti,₹180,3.7,2795 Reviews,OPPL,"3.8103,468 Ratings","2,733Followers","5,699Products"
FASHION  COTTON KURTA,₹346,3.8,646 Reviews,Bala creations,"3.86,378 Ratings",112Followers,17Products
Women's Daily Wear Crepe Fabric With Printed Straight Cut C Kurti (Combo Pack 4 Piece CREPE KURTI),₹585,3.6,3 Reviews,H D Enter,"3.64,736 Ratings",168Followers,"2,533Products"
Kurtis,₹283,3.7,3464 Reviews,saavi fashion,"3.734,787 Ratings",785Followers,10Products
"Casual American Crepe And Rasal Net Round-Neck 3/4 Length Sleeves Navy Blue Kurti (45""Inches)",₹167,3.8,667 Reviews,D_B_F,"3.9163,691 Ratings","1,847Followers","1,262Products"
Women Solid Cotton Blend Straight Kurta Combo Of 2,₹408,3.2,2 Reviews,AHIRANI FASHION,3.7993 Ratings,29Followers,23Products
DSK Studio Women's Printed Straight Kurti (Combo Pack 2 Kurta ),₹270,3.7,10079 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Stylish Women Kurta,₹322,4.0,7074 Reviews,Vaid Creation,"4.055,506 Ratings","1,976Followers",13Products
Abhisarika Ensemble Kurtis,₹289,3.7,74 Reviews,SHREENA ENTERPRISE,"3.717,197 Ratings",516Followers,409Products
alisha fashionbale kurti,₹190,3.9,856 Reviews,M.K.R DESIGN,"3.88,807 Ratings",292Followers,25Products
LADYLAZ SELFIE KURTIS,₹282,3.7,735 Reviews,VIVIDH CREATIONSS,"3.836,145 Ratings","1,751Followers",215Products
Stylish Woman reyon kurti pack of 1,₹261,3.6,5 Reviews,SHREE FASHION,"3.69,210 Ratings",231Followers,26Products
Abhisarika Pretty Kurtis,₹352,3.8,5976 Reviews,Treanzo Apparel,"3.851,322 Ratings",950Followers,38Products
Ma syla garments Anarkali kurti,₹312,3.8,962 Reviews,MA SYLA GARMENTS,"3.8100,832 Ratings","2,388Followers",7Products
Trendy  Streght Cotton Kurti (204)Cream Colour,₹262,3.5,204 Reviews,Lanya Fab,"3.617,870 Ratings",386Followers,30Products
Arvi Creation Women's Cotton A-Line Kurti,₹181,3.9,1129 Reviews,ARVI CREATION 1,"3.911,658 Ratings",226Followers,6Products
women kurti,₹261,3.9,865 Reviews,RITIKA TRADERS,"3.926,426 Ratings",452Followers,58Products
PRIYA FAB Women's cotton Maternity Dress/Pregnancy Dress/Easy Breast Feeding/Breastfeeding Dress/Western Dress with Zippers for Nursing Pre and Post Pregnancy.,₹330,NA,NA,PRIYAFAB,3.8210 Ratings,8Followers,23Products
Aishani Pretty Kurtis,₹285,4.0,5302 Reviews,Shama Fashion,"4.049,657 Ratings",939Followers,48Products
Fashionable Cotton Slub Digital Print Anarkali Kurti For Women,₹283,4.0,977 Reviews,MICO CREATION,"4.011,787 Ratings",196Followers,29Products
Trendy Sensational Kurtis,₹289,3.8,160 Reviews,SHREENA ENTERPRISE,"3.717,197 Ratings",516Followers,409Products
Women's Crepe straight Kurti xxl 3xl 4xl,₹190,3.8,1626 Reviews,RITABEN HARESHBHAI BHALIYA,"3.825,045 Ratings",503Followers,24Products
Laining Heavy Digital Print Kurti,₹180,3.9,3673 Reviews,Shiv Enter,"3.7460,110 Ratings","4,905Followers",341Products
Trendy Graceful Women Dresses,₹207,3.8,34 Reviews,Deep Fashionwear,"3.76,346 Ratings",91Followers,88Products
Rangrasiya Tex New Rayon  Embroidered Plus Size Kurtis,₹315,4.1,565 Reviews,Rangrasiyatex,"4.0267,539 Ratings","4,398Followers",83Products
Abhisarika Refined Kurtis,₹249,3.9,3358 Reviews,DHRUVANSHI ENTERPRISE,"3.839,981 Ratings","1,074Followers",64Products
Aagyeyi attractive kurtis,₹282,3.8,20 Reviews,SHREENA ENTERPRISE,"3.717,197 Ratings",516Followers,409Products
eheriya Print Pink Straight Sleeveless Kurti for Girls,₹185,4.0,451 Reviews,kiyas Fashion,"3.992,509 Ratings","1,822Followers",30Products
AAIVAN Pink Kantha Pattern Kurta,₹270,4.0,5722 Reviews,AAIVAN#,"4.054,694 Ratings","4,217Followers",70Products
Women's  Abstract Printed  Kurti Fabric,₹305,4.2,25 Reviews,Unique Enterprise2022,"4.03,045 Ratings",376Followers,94Products
Fashionable Cotton Slub Dijital Print Anarkali Kurti For Women,₹303,4.0,444 Reviews,Saturn Creation,"4.06,223 Ratings",162Followers,25Products
New Embroidery Gaithering Anarkali kurta,₹342,4.0,554 Reviews,MOVIN ENTRPRISES,"4.07,595 Ratings",140Followers,8Products
New Arrival Cotton Printed Ethnic Kurti For Women With Round Neck and 3/4 Sleeves,₹261,4.1,3 Reviews,CHAHAT FAB,"3.620,210 Ratings",883Followers,32Products
women kurta,₹369,4.0,2948 Reviews,Krishna Art,"4.161,130 Ratings",959Followers,8Products
Anarkali,₹278,3.8,3813 Reviews,MA SYLA GARMENTS,"3.8100,832 Ratings","2,388Followers",7Products
Latest Grey Printed Designer Kurti,₹447,4.0,5433 Reviews,KING CREATION,"4.041,480 Ratings","5,561Followers",55Products
Beautyfull kurti for women,₹168,3.8,29 Reviews,SWASTIK DESIGNER,3.8337 Ratings,25Followers,7Products
Trending Women Fashion Kurta Combo Of 3,₹615,3.7,4 Reviews,Anadi. Enterprise,3.8672 Ratings,23Followers,16Products
Kurtis,₹250,3.8,1870 Reviews,UEA,"3.818,197 Ratings",283Followers,54Products
Aakarsha Graceful Kurtis,₹269,3.9,5994 Reviews,MA SYLA GARMENTS,"3.8100,832 Ratings","2,388Followers",7Products
Combo Pack 6 Piece CREPE KURTI For Women and Girls,₹837,3.3,1 Reviews,H D Enter,"3.64,736 Ratings",168Followers,"2,533Products"
Anarkali Kurti Latest Anarkali Kurti Chinkenkari Anarkali Jaipuri Anarkali kurti,₹317,3.7,510 Reviews,SRF Fabric,"3.810,889 Ratings",299Followers,46Products
Chitrarekha Fabulous Kurtis,₹186,3.7,1937 Reviews,krit_enterprise,"3.889,881 Ratings","1,097Followers",98Products
Women Solid Rayon Straight Kurti,₹362,4.1,107 Reviews,Doriya,"3.92,791 Ratings",112Followers,42Products
Rajasthani Bhandhej Printed Cotton Straight Kurti for Women s & Girls,₹214,3.9,3739 Reviews,kiyas Fashion,"3.992,509 Ratings","1,822Followers",30Products
Womens Cotton Kurti,₹280,4.1,1606 Reviews,PICHAWAI,"4.19,601 Ratings",293Followers,13Products
Combo Pack 6 Piece CREPE KURTI For Women and Girls,₹837,4.1,4 Reviews,H D Enter,"3.64,736 Ratings",168Followers,"2,533Products"
Ethnic Kurti,₹395,4.0,451 Reviews,Abbas Collection,"4.03,584 Ratings",123Followers,26Products
Women's Digital Printed Straight Cut Kurti(Combo Pack Of 2),₹284,3.8,20270 Reviews,Crepe wali Kurtis,"3.81,017,049 Ratings","12,895Followers",631Products
Combo Pack 4 Piece CREPE KURTI,₹668,3.6,24 Reviews,Saakhi Enterprise,"3.73,179 Ratings",101Followers,"2,270Products"
Women's Regular Fit Crepe Aline Kurti,₹179,3.7,6782 Reviews,Crepe wali Kurtis,"3.81,017,049 Ratings","12,895Followers",631Products
Women's Ethnic Wear Multi Color Straight Kurti Pack of 3,₹498,NA,NA,NANDA_DHARM,"3.8170,050 Ratings","2,196Followers",205Products
Women's Regular Fit Aline Kurti,₹171,3.6,1205 Reviews,HIVA WESTERN COLLECTION,"3.8203,586 Ratings","2,148Followers",449Products
Kurtis,₹293,4.0,636 Reviews,MANISHA ENTERPRISE'S,"4.05,526 Ratings",123Followers,11Products
Rose-Blue Crepe A-line Kurti,₹256,3.6,7 Reviews,CLASSY & MISSY,"3.99,110 Ratings",650Followers,50Products
KRISHNA WINE,₹293,3.8,319 Reviews,SAKSHI FASHIO,"3.73,280 Ratings",72Followers,12Products
Stylish Women's Crepe Pink & Red Color  Zig Zag Printed Straight Kurti,₹179,3.8,1091 Reviews,OPPL,"3.8103,468 Ratings","2,733Followers","5,699Products"
Kurti,₹520,4.1,28 Reviews,SAHAJ CORPORATION,"3.82,172 Ratings",153Followers,91Products
Myra Ensemble Kurtis with koti,₹236,3.7,6315 Reviews,GORASIYA SHOP,"3.761,439 Ratings","1,181Followers",137Products
Alisha Refined Kurtis,₹312,4.0,721 Reviews,MAVER ENTERPRISES,"4.019,170 Ratings",248Followers,28Products
Women's Crepe Digital Print Kurta and kurti With Combo (Pack Of 4),₹649,2.5,1 Reviews,ENTR_S.R,"3.85,111 Ratings",191Followers,"2,730Products"
Nirali New Trendy Women's Silk  Kurti,₹180,4.0,606 Reviews,NIRALI TEXTILES,"3.910,796 Ratings",338Followers,10Products
Women's Printed Crepe Anarkali Kurti,₹273,3.9,50997 Reviews,PLS Creations,"3.9199,176 Ratings","1,537Followers",14Products
Combo Pack 6 Piece CREPE KURTI For Women and Girls,₹814,3.8,13 Reviews,CREPE KING,"3.613,440 Ratings",684Followers,"2,668Products"
Rennede Women? Rayon Printed Anarkali Kurti,₹363,3.7,685 Reviews,Reena Handicraft,"3.832,689 Ratings","3,486Followers",63Products
HIGH DEMAND KURTI,₹368,3.8,943 Reviews,NEHA TRADERS,"3.816,229 Ratings",407Followers,15Products
Trendy Alluring Kurtis,₹665,4.1,1 Reviews,AD_TEX,3.8632 Ratings,14Followers,9Products
Women Rayon Flared Embroidered Yellow Kurti,₹382,3.7,1879 Reviews,jivika_enterprises,"3.719,327 Ratings",322Followers,49Products
Aagyeyi attractive kurtis,₹282,3.6,15 Reviews,SHREENA ENTERPRISE,"3.717,197 Ratings",516Followers,409Products
Women's Rayon Printed Long Flared Anarkali Kurtis,₹375,4.0,1891 Reviews,CLOTHING HOUSE,"4.014,127 Ratings",688Followers,5Products
new womens cottton pleated kurtis,₹318,4.0,1055 Reviews,Shree Varahi Export,"4.032,546 Ratings","1,306Followers",37Products
Alisha Sensational Kurtis,₹301,3.4,NA,ALLENINDIA,"4.011,042 Ratings",260Followers,29Products
Women's American Crepe A-Line Readymade Kurti,₹197,3.8,1879 Reviews,Bd_Fashion,"3.860,937 Ratings","1,741Followers",346Products
Aagam Sensational Kurtis,₹358,3.9,272 Reviews,shree shyam handicraft,"4.017,030 Ratings",437Followers,97Products
Combo Pack 6 Piece CREPE KURTI For Women and Girls,₹900,3.8,2 Reviews,CREPE KING,"3.613,440 Ratings",684Followers,"2,668Products"
Abhisarika Drishya Kurtis,₹340,4.1,4351 Reviews,Mani exports,"4.0134,881 Ratings","3,811Followers",55Products
Pure Cottan Superior Kurti,₹270,3.8,3386 Reviews,HINGLAAJ MATA FABRICS,"3.935,730 Ratings",823Followers,21Products
EMBROIDERY SEQUVENCE COTTON BENDED STREGHT KURTI PACK OF 2,₹490,3.8,25 Reviews,Lanya Fab,"3.617,870 Ratings",386Followers,30Products
Aagam Attractive Kurtis,₹166,3.7,2034 Reviews,Brosis Deal,"3.651,157 Ratings",924Followers,682Products
crepe kurtis,₹140,3.6,90 Reviews,NAKSH ENTERPRISE SAREES,"3.736,711 Ratings",791Followers,50Products
ComboCrepe Kurti Printed Designer Kurti - 6 Top Kurti Combo,₹900,3.5,4 Reviews,VRAJ RADHE NX,3.9433 Ratings,40Followers,"2,488Products"
Women's Embroidered Lucknowi Chikankari Kurti,₹465,3.5,2193 Reviews,RIZWAN CHIKAN HANDICRAFTS SUP,"3.556,468 Ratings","1,263Followers",63Products
Zyla kurta with short jacket.,₹280,3.9,937 Reviews,Ja Yela,"3.881,891 Ratings","2,435Followers",108Products
New Georgette Gown Collaction,₹485,4.0,261 Reviews,India Online,"3.82,786 Ratings",94Followers,727Products
"Casual American Crepe Round-Neck 3/4th Length Sleeves (45""Inches)",₹293,3.9,619 Reviews,Maheshvi,"3.9116,310 Ratings","1,392Followers","1,168Products"
Aagyeyi attractive kurtis,₹404,3.2,7 Reviews,SHREENA ENTERPRISE,"3.717,197 Ratings",516Followers,409Products
